date,order_id,revenue,country,device,customer_type,acquisition_channel
2026-01-01,ORD-00001,150.00,Germany,Mobile,Returning,Organic Search
2026-01-02,ORD-00002,150.00,Germany,Mobile,Returning,Organic Search
2026-01-03,ORD-00003,150.00,Germany,Mobile,Returning,Organic Search
2026-01-04,ORD-00004,150.00,Germany,Mobile,Returning,Organic Search
2026-01-05,ORD-00005,150.00,Germany,Mobile,Returning,Organic Search
2026-02-01,ORD-00006,10.00,Germany,Mobile,Returning,Organic Search
2026-02-02,ORD-00007,10.00,Germany,Mobile,Returning,Organic Search
2026-02-03,ORD-00008,10.00,Germany,Mobile,Returning,Organic Search
2026-02-04,ORD-00009,10.00,Germany,Mobile,Returning,Organic Search
2026-02-05,ORD-00010,10.00,Germany,Mobile,Returning,Organic Search
2026-01-06,ORD-00011,150.00,Germany,Mobile,Returning,Paid Search
2026-01-07,ORD-00012,150.00,Germany,Mobile,Returning,Paid Search
2026-01-08,ORD-00013,150.00,Germany,Mobile,Returning,Paid Search
2026-01-09,ORD-00014,150.00,Germany,Mobile,Returning,Paid Search
2026-01-10,ORD-00015,150.00,Germany,Mobile,Returning,Paid Search
2026-02-06,ORD-00016,10.00,Germany,Mobile,Returning,Paid Search
2026-02-07,ORD-00017,10.00,Germany,Mobile,Returning,Paid Search
2026-02-08,ORD-00018,10.00,Germany,Mobile,Returning,Paid Search
2026-02-09,ORD-00019,10.00,Germany,Mobile,Returning,Paid Search
2026-02-10,ORD-00020,10.00,Germany,Mobile,Returning,Paid Search
2026-01-11,ORD-00021,50.00,Germany,Mobile,New,Organic Search
2026-01-12,ORD-00022,50.00,Germany,Mobile,New,Organic Search
2026-01-13,ORD-00023,50.00,Germany,Mobile,New,Organic Search
2026-01-14,ORD-00024,50.00,Germany,Mobile,New,Organic Search
2026-01-15,ORD-00025,50.00,Germany,Mobile,New,Organic Search
2026-02-11,ORD-00026,80.00,Germany,Mobile,New,Organic Search
2026-02-12,ORD-00027,80.00,Germany,Mobile,New,Organic Search
2026-02-13,ORD-00028,80.00,Germany,Mobile,New,Organic Search
2026-02-14,ORD-00029,80.00,Germany,Mobile,New,Organic Search
2026-02-15,ORD-00030,80.00,Germany,Mobile,New,Organic Search
2026-01-16,ORD-00031,50.00,Germany,Mobile,New,Paid Search
2026-01-17,ORD-00032,50.00,Germany,Mobile,New,Paid Search
2026-01-18,ORD-00033,50.00,Germany,Mobile,New,Paid Search
2026-01-19,ORD-00034,50.00,Germany,Mobile,New,Paid Search
2026-01-20,ORD-00035,50.00,Germany,Mobile,New,Paid Search
